id_venta,id_cliente,id_vehiculo,id_vendedor,fecha_venta,precio_venta,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,precio_usd,precio_eur
1,87,1796,12,2026-05-12,347062.0,Mercedes-Benz,E-Class E 220d Expression [2019-2019],4775000,2018,51529,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0,47750.0,41289.425
2,57,1949,11,2024-10-25,1341431.0,Hyundai,Creta SX 1.6 CRDi,1299000,2019,39000,Diesel,Manual,Mumbai,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0,12990.0,11232.453
3,80,1330,2,2026-05-25,537277.0,Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,650000,2019,15000,Petrol,Automatic,Chandigarh,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0,6500.0,5620.55
4,192,2039,9,2024-07-07,616053.0,Jeep,Compass Limited 1.4 Petrol AT [2017-2020],1495000,2018,28000,Petrol,Automatic,Delhi,Silver,First,Individual,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0,14950.0,12927.265000000001
5,22,1636,15,2025-08-17,900245.0,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],560000,2017,29000,Petrol,Manual,Bangalore,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0,5600.0,4842.32
6,145,1787,12,2026-04-25,1461331.0,Maruti Suzuki,Alto 800 Vxi,285000,2016,22346,Petrol,Manual,Patna,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0,2850.0,2464.395
7,32,1500,2,2025-10-14,1639928.0,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],380000,2015,55660,Petrol,Manual,Raipur,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0,3800.0,3285.86
8,56,216,9,2025-01-16,936367.0,Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,715000,2020,17000,Petrol,Automatic,Bangalore,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3805.0,1680.0,1520.0,5.0,37.0,7150.0,6182.6050000000005
9,135,1558,9,2025-03-22,1644197.0,BMW,3-Series 330i M Sport Edition,5500000,2020,19000,Petrol,Automatic,Chennai,Black,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0,55000.0,47558.5
10,28,1208,9,2026-05-10,2461911.0,Audi,Q3 35 TDI Premium + Sunroof,1650000,2016,139000,Diesel,Automatic,Jaipur,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0,16500.0,14267.550000000001
11,68,326,12,2025-09-02,1717334.0,Maruti Suzuki,Swift VXi,745000,2021,14722,Petrol,Manual,Bangalore,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0,7450.0,6442.015
12,193,797,1,2026-04-04,2215165.0,Hyundai,Creta 1.6 SX (O),875000,2016,62125,Diesel,Manual,Patna,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,8750.0,7566.125
13,115,683,15,2025-07-06,958435.0,Mercedes-Benz,C-Class C200 Progressive,4950000,2021,12400,Petrol,Automatic,Pune,Blue,First,Individual,1991 cc,201 bhp @ 5800 rpm,300 Nm @ 1200 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0,49500.0,42802.65
14,2,752,15,2025-05-03,1407232.0,Hyundai,Creta 1.6 SX,1035000,2018,36000,Diesel,Manual,Patna,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,10350.0,8949.645
15,173,592,5,2024-11-04,519181.0,Maruti Suzuki,Vitara Brezza VDi,825000,2018,48174,Diesel,Manual,Thane,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0,8250.0,7133.775000000001
16,70,137,9,2026-03-07,356788.0,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],484999,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0,4849.99,4193.7863529999995
17,149,668,5,2025-06-25,475313.0,Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,Diesel,Automatic,Faridabad,White,First,Individual,2987 cc,255 bhp @ 3600 rpm,620 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0,55000.0,47558.5
18,83,377,11,2025-07-28,1590179.0,Honda,Amaze 1.2 VX AT i-VTEC,465000,2014,29442,Petrol,Automatic,Mumbai,Silver,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0,4650.0,4020.855
19,54,1002,11,2026-01-12,925315.0,Maruti Suzuki,Wagon R VXi 1.2,550000,2020,19000,Petrol,Manual,Varanasi,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3655.0,1620.0,1675.0,5.0,32.0,5500.0,4755.85
20,73,447,9,2024-07-25,1756809.0,Hyundai,Xcent SX 1.1 CRDi,525000,2018,78900,Diesel,Manual,Vadodara,Silver,First,Individual,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0,5250.0,4539.675
21,166,87,15,2026-02-27,1995922.0,Volkswagen,Vento Comfortline Petrol,430000,2015,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4384.0,1699.0,1466.0,5.0,55.0,4300.0,3718.21
22,51,1251,6,2024-07-04,1640372.0,Mercedes-Benz,C-Class 220 CDI Elegance AT,495000,2008,95200,Diesel,Automatic,Mumbai,Grey,First,Corporate,2148 cc,170@3700,410@2000,RWD,4581.0,1770.0,1447.0,5.0,66.0,4950.0,4280.265
23,190,1732,13,2025-11-06,829586.0,Mercedes-Benz,V-Class Elite LWB,6300000,2020,40000,Diesel,Automatic,Delhi,Silver,First,Corporate,1950 cc,161 bhp @ 4200 rpm,380 Nm @ 1200 rpm,RWD,5140.0,1928.0,1901.0,6.0,57.0,63000.0,54476.1
